UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
María Elena Machuca,@MaElenaMachucaM,2021-05-03T20:04:21.000Z,"Presidente 
@LassoGuillermo
 el camino está trazado.

Nuestra riqueza cultural y patrimonial es motivo de orgullo para todo el Ecuador.

Y con ese orgullo nos volveremos a mostrar al mundo.

#EncontrémosPorLaCultura Citar Tweet
Guillermo Lasso
@LassoGuillermo
 · 3 may.
Con @MaElenaMachucaM en el Ministerio de Cultura y Patrimonio nos enfocaremos en:

 Crear el Sistema Nacional de Impulso Creativo 
 La promoción y mejora de incentivos tributarios  
 Apoyo integral para la reactivación de la economía naranja

#EncontrémonosPorLaCultura",40,84,424
Guillermo Lasso,@LassoGuillermo,2021-05-03T19:01:22.000Z,"Con 
@MaElenaMachucaM
 en el Ministerio de Cultura y Patrimonio nos enfocaremos en:

 Crear el Sistema Nacional de Impulso Creativo 
 La promoción y mejora de incentivos tributarios  
 Apoyo integral para la reactivación de la economía naranja

#EncontrémonosPorLaCultura",62,158,765
Guillermo Lasso,@LassoGuillermo,2021-05-03T15:01:18.000Z,En el Día Mundial de la #LibertadDePrensa saludo a todos los periodistas ecuatorianos por su magnífica labor y servicio a la verdad. Hoy también recordamos a quienes perdieron la vida ejerciendo su profesión. Que en paz descansen.,182,457,"2,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-02T23:24:52.000Z,"Es imprescindible realizar un trabajo coordinado con las Alcaldías para llevar a cabo el proceso de vacunación, planes de seguridad ciudadana y proyectos de agua potable y alcantarillado en todo el Ecuador. 

¡Juntos podemos lograrlo! ",213,417,"1,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-02T16:48:44.000Z,"Con gran responsabilidad y sentido social, llevaremos a cabo nuestro Plan de Gobierno y caminaremos juntos hacia el Ecuador del encuentro. ",222,390,"2,1 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-01T23:03:07.000Z,"“El Ecuador del encuentro empieza por un gran proceso de reconciliación nacional” - 
@BernardaOM
. 

En la Secretaría de Derechos Humanos y en todas las carteras de Estado tenemos el compromiso de tender puentes de diálogo para juntos salir adelante. No se pudo reproducir el contenido multimedia.
Recargar",137,159,892
Guillermo Lasso,@LassoGuillermo,2021-05-01T21:12:23.000Z,"Expresamos nuestras más sinceras condolencias al Asambleísta 
@MarceloSimbana
 y a sus familiares por la dolorosa pérdida de su padre Abdón Simbaña. Que Dios lo tenga en su gloria y que descanse en paz.",28,54,501
Guillermo Lasso,@LassoGuillermo,2021-05-01T18:09:18.000Z,"Trabajaremos desde la Secretaría de DDHH junto a 
@BernardaOM
 para:

 Luchar contra la violencia hacia las niñas y mujeres
 Aplicar políticas públicas que impulsen la economía violeta
 Fortalecer la educación, salud y justicia 
 La plena vigencia de todos los DDHH",235,288,"1,8 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-01T14:17:04.000Z,"Las luchas de los trabajadores deben ser reconocidas y sus esfuerzos debidamente recompensados. La meta es empleos dignos, bien pagados y con seguridad social. Este #1deMayo ratificamos el compromiso de garantizar los derechos laborales y crear oportunidades.

#DíaDelTrabajador",843,1 mil,"6,3 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-30T22:04:56.000Z,"La revalorización de los docentes será una prioridad para el Ministerio de Educación. Ratificamos nuestro compromiso de trabajar por un sistema educativo que brinde bienestar para todos. 

#EncontrémonosPorLaEducaciónNo se pudo reproducir el contenido multimedia.
Recargar",473,307,"1,5 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-30T15:37:54.000Z,"Vamos a transformar el sistema educativo. Trabajaremos por:

 Renovar la infraestructura física y tecnológica de las escuelas y colegios rurales
 Apoyo y revalorización de los docentes
 Impulsar una educación moderna y como derecho humano

#EncontrémonosPorLaEducación ",755,737,"4,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-30T00:32:44.000Z,"Octubre de 1981 fue la última vez que estuve con mi familia en mi primera casa en el Barrio Orellana de Guayaquil, donde nací y crecí junto a mis padres y hermanos. Siempre estaré agradecido por todos los aprendizajes, el amor y cariño que recibí en este hogar.",212,407,4 mil
Municipalidades Ec,@AMEcuador,2021-04-28T16:15:48.000Z,"#AMEGestiona | (En vivo ) Encuentro del Presidente Electo,  Guillermo Lasso , con el Consejo Nacional de AME y los alcaldes del país. Se realizan pruebas rápidas de COVID a los asistentes.#AMEGestiona | (En vivo ) Encuentro del Presidente Electo,...
#AMEGestiona | (En vivo ) Encuentro del Presidente Electo, Guillermo Lasso , con el Consejo Nacional de AME y los alcaldes del país.
facebook.com",15,26,118
Guillermo Lasso,@LassoGuillermo,2021-04-28T13:03:00.000Z,Cuenten conmigo SIEMPRE. ,949,"1,4 mil","11,5 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-28T01:14:46.000Z,"Mi más sentido pésame a la familia y amigos de Miguel Dávila por esta dolorosa pérdida. Un gran amigo y excelente profesional que colaboró con nosotros en el Plan de Gobierno. Siempre recordaremos su valioso legado y contribución a esta lucha, que en paz descanse.",109,217,"2,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-27T23:32:29.000Z,"Prospera Ecuador es un programa de ayuda económica que se llevará a cabo desde el MIES, bajo la dirección de 
@maemontanov
, para familias en situaciones vulnerables.",131,211,971
Guillermo Lasso,@LassoGuillermo,2021-04-27T18:45:57.000Z,"Desde el Ministerio de Inclusión Económica y Social, 
@maemontanov
 tendrá las siguientes prioridades: 

 Protección y movilidad social 
 Combatir la desnutrición crónica infantil 
 Apoyo integral a mujeres en emprendimiento, conciliación familiar y corresponsabilidad",77,198,"1,3 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-27T18:45:57.000Z,"Como gobierno, las puertas siempre estarán abiertas. Fortaleceremos la relación con los ciudadanos a través de la transparencia de la información, canales abiertos de comunicación y un servicio de calidad. Lucharemos por el bienestar de todos los ecuatorianos. ",82,125,844
Guillermo Lasso,@LassoGuillermo,2021-04-27T16:40:42.000Z,"La función pública nos llama a ser ejemplares, a conversar abiertamente con la ciudadanía y a incluir sus ideas y propuestas. En este gobierno, la transparencia y la profunda vocación de servicio regirán el trabajo. 

¡Este es el Ecuador del encuentro! ",316,363,"2,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-27T14:00:44.000Z,"El Ecuador del encuentro es una nueva forma de hacer política, una que escucha y pone al ciudadano en el centro del servicio público. 0:39
25,7 mil reproducciones",188,218,"1,3 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-27T01:33:34.000Z,"Los Ministros del Frente Social 

https://vm.tiktok.com/ZMeCkKcNt/",326,552,"3,3 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-27T00:31:58.000Z,"Agradezco al Presidente 
@EmmanuelMacron
 por sus buenos deseos para el Ecuador. Fortaleceremos la cooperación con Francia a través de una visión de desarrollo, bienestar y prosperidad. Celebro este compromiso de robustecer nuestra relación bilateral. ",133,680,"4,7 mil"
Mae Montaño,@maemontanov,2021-04-26T18:44:48.000Z,"Emocionada y honrada de poder continuar con mi trabajo por los sectores más necesitados, ahora desde el ministerio 
@InclusionEc
.
Mi compromiso inquebrantable por un Ecuador inclusivo con mejores condiciones económicas y sociales para todos. #EcuadorDelEncuentro
#CambioCiudadano",1 mil,"1,1 mil","8,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-04-26T15:47:15.000Z,"Acaba de fallecer el cantante indígena Jesús Fichamba de COVID-19, quien nos deja un gran legado con la composición de La Pinta, La Niña y La Santa María y varios éxitos artísticos. Mis más sinceras condolencias a sus seres queridos, que descanse en paz.",202,946,"6,3 mil"
